id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
315239,Home in Austin · 3 bedrooms · 3 beds · 2 baths,1617870,John,78745,30.21467,-97.77901,Entire home/apt,600,3,2,2014-03-17,365
316630,Home in Austin · ★4.89 · 2 bedrooms · 2 beds · 1 bath,1626165,Gretchen,78704,30.25472,-97.75562,Entire home/apt,400,3,9,2015-03-24,0
319759,Townhouse in Austin · ★4.84 · 5 bedrooms · 9 beds · 3.5 baths,814883,Kristen,78702,30.26585,-97.73328,Entire home/apt,321,1,316,2023-08-15,279
319887,Home in Austin · 2 bedrooms · 3 beds · 1 bath,1640158,Jeremy,78702,30.25328,-97.72968,Entire home/apt,694,4,2,2015-03-18,0
319894,Home in Austin · ★4.84 · 3 bedrooms · 3 beds · 2.5 baths,1640172,Gary,78724,30.28354,-97.64966,Entire home/apt,187,2,200,2023-09-04,230
322834,Home in Austin · ★4.80 · 3 bedrooms · 5 beds · 2 baths,3797734,Leslie And Dylan,78702,30.26849,-97.71874,Entire home/apt,240,4,47,2018-03-25,0
323733,Condo in Austin · ★4.85 · 2 bedrooms · 2 beds · 1 bath,1654178,Erik,78701,30.26843,-97.74548,Entire home/apt,178,1,361,2019-10-25,0
324480,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,1660476,Mark,78705,30.29905,-97.73881,Entire home/apt,99,30,1,2022-09-20,363
325889,Home in Austin · ★4.75 · 5 bedrooms · 6 beds · 2 baths,1666874,Brian,78704,30.24583,-97.75472,Entire home/apt,799,3,92,2023-09-04,337
326172,Guesthouse in Austin · ★5.0 · 1 bedroom · 1 bed · 1 bath,1665442,Lionel,78756,30.3266506195068,-97.7436218261719,Entire home/apt,7098,30,23,2023-06-01,38
329172,Home in Austin · ★5.0 · 3 bedrooms · 3 beds · 2 baths,1680871,Janet,78746,30.30085,-97.80794,Entire home/apt,495,3,7,2022-08-07,346
329306,Home in Austin · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,880571,Angel,78702,30.27232,-97.72579,Private room,68,2,604,2023-08-27,56
331549,Place to stay in Austin · 1 bedroom · 1 bed · 1 bath,1690383,Sandra,78725,30.23911,-97.58625,Private room,100,2,0,,0
333442,Home in Austin · ★4.84 · 5 bedrooms · 5 beds · 3 baths,1698318,Virginia,78703,30.31267,-97.76641,Entire home/apt,256,3,175,2023-08-28,283
333815,Home in Austin · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,372962,Kim,78704,30.25381,-97.75262,Private room,102,2,171,2023-08-17,46
334616,Condo in Austin · 2 bedrooms · 2 beds · 1 bath,608539,D,78741,30.24481,-97.72379,Entire home/apt,250,1,2,2013-03-17,0
335231,Home in Austin · 2 bedrooms · 2 beds · 1 bath,1665428,Krista,78704,30.23841,-97.74402,Entire home/apt,95,28,1,2012-03-15,40
335945,Home in Austin · ★4.56 · 2 bedrooms · 2 beds · 2 baths,1555683,Patrick,78741,30.24026,-97.73338,Entire home/apt,149,3,34,2022-11-01,173
337125,Home in Austin · ★4.79 · 1 bedroom · 2 beds,261883,Carolyn,78759,30.42035,-97.76685,Private room,80,32,33,2015-10-06,83
340045,Loft in Austin · 1 bedroom · 1 bed · 1.5 baths,1725752,Shanti,78746,30.25937,-97.79249,Entire home/apt,400,1,1,2021-12-30,0
340630,Home in Austin · ★4.74 · 2 bedrooms · 2 beds · 1 bath,531267,Shelley,78757,30.33061,-97.72531,Entire home/apt,50,30,24,2023-03-28,38
341382,Home in Austin · ★4.72 · 4 bedrooms · 6 beds · 2 baths,1205884,Luke And Rachel,78702,30.26543,-97.71338,Entire home/apt,750,4,124,2019-03-17,0
341530,Bungalow in Austin · ★4.82 · 1 bedroom · 1 bed · 1 bath,740347,Chris,78704,30.24746,-97.75662,Entire home/apt,178,2,198,2023-04-24,15
341596,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 1 shared bath,1733004,Julie,78704,30.24623,-97.75904,Private room,135,2,94,2023-03-27,81
342039,Guesthouse in Austin · ★4.93 · 1 bedroom · 1 bed · 1 bath,1735494,Steph And Joey,78702,30.25158,-97.73147,Entire home/apt,104,1,369,2023-08-27,154
342243,Home in Austin · ★5.0 · 1 bedroom · 1 bed · 1 private bath,1736662,Teresa,78759,30.41633,-97.75228,Private room,44,31,3,2020-02-13,335
343462,Guest suite in Austin · ★4.89 · 1 bedroom · 1 bed · 1 bath,1742984,Rachel,78721,30.26895,-97.68947,Entire home/apt,99,1,262,2023-09-04,266
343889,Rental unit in Austin · ★4.74 · Studio · 1 bed · 1 bath,1744639,Darcy,78702,30.27293,-97.72288,Entire home/apt,47,30,37,2023-07-31,128
345221,Rental unit in Austin · ★4.38 · 2 bedrooms · 3 beds · 1 bath,1644218,Cecily,78701,30.27247,-97.74796,Entire home/apt,299,3,8,2019-11-03,0
345473,Home in Austin · ★4.96 · 3 bedrooms · 3 beds · 2 baths,1751224,Whitney,78704,30.24619,-97.74569,Entire home/apt,209,3,196,2023-09-03,79
345536,Bungalow in Austin · ★4.93 · 2 bedrooms · 3 beds · 1 bath,1752493,Gigi,78704,30.2466,-97.76157,Entire home/apt,165,2,307,2023-08-08,268
347572,Home in Austin · ★4.90 · 2 bedrooms · 3 beds · 1 bath,1761506,Savanna,78702,30.26448,-97.71715,Entire home/apt,125,2,29,2020-03-01,0
347654,Home in Austin · ★4.91 · 3 bedrooms · 3 beds · 2.5 baths,1761915,Charm,78704,30.23661,-97.7449,Entire home/apt,525,1,67,2023-07-02,80
347935,Home in Austin · 2 bedrooms · 2 beds · 1 bath,1763742,Amber,78704,30.25152,-97.76212,Entire home/apt,643,5,1,2012-03-18,0
349447,Bungalow in Austin · ★4.84 · 1 bedroom · 1 bed · 1 bath,1770424,Jason,78702,30.27871,-97.72332,Entire home/apt,121,1,857,2023-08-26,333
349635,Guest suite in Austin · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,1771402,Cindie,78703,30.29932,-97.77631,Private room,72,1,71,2022-10-23,25
350072,Home in Austin · ★5.0 · 3 bedrooms · 3 beds · 3 baths,1714818,Jessica,78704,30.24643,-97.76403,Entire home/apt,825,3,6,2014-11-04,0
351865,Home in Austin · 1 bedroom · 1 bed · 1 bath,1782559,Julie,78754,30.33345,-97.64937,Private room,75,1,0,,0
353261,Home in Austin · ★4.82 · 4 bedrooms · 5 beds · 3.5 baths,1789494,Lara,78704,30.24276,-97.75211,Entire home/apt,575,3,209,2023-06-11,250
353955,Rental unit in Austin · 2 bedrooms · 1 bed,1792021,Mykel,78746,30.34574,-97.80069,Entire home/apt,225,3,1,2012-03-15,0
354263,Guesthouse in Austin · ★4.90 · 1 bedroom · 2 beds · 1 bath,1752493,Gigi,78704,30.24821,-97.76343,Entire home/apt,125,1,404,2023-09-04,312
354513,Home in Austin · ★5.0 · 3 bedrooms · 3 beds · 2.5 baths,1795232,Sara,78702,30.25884,-97.73056,Entire home/apt,630,3,5,2017-03-15,0
354569,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 2 baths,2049988,Mike,78703,30.28885,-97.76001,Entire home/apt,248,3,11,2017-07-05,0
355176,Rental unit in Austin · ★4.85 · 1 bedroom · 1 bed · 1 bath,1798140,Scott,78745,30.22187,-97.7747,Entire home/apt,110,30,21,2021-05-02,0
355232,Home in Austin · ★5.0 · 3 bedrooms · 7 beds,1798084,Jeffrey,78704,30.24748,-97.74724,Entire home/apt,1000,1,3,2017-03-19,365
355328,Home in Austin · 1 bedroom · 1 bed · 1 bath,1798834,Joan,78704,30.23928,-97.77907,Entire home/apt,100,1,0,,0
355792,Rental unit in Austin · ★4.85 · 1 bedroom · 1 bed · 1 bath,1801114,An,78703,30.28097,-97.75393,Entire home/apt,97,2,14,2021-11-29,0
356675,Home in Austin · 3 bedrooms · 4 beds · 2.5 baths,1805253,Trey,78703,30.3054,-97.76974,Entire home/apt,1050,30,2,2013-06-01,0
356719,Home in Austin · 3 bedrooms · 3 beds · 2 baths,1805524,Jai,78723,30.30571,-97.69464,Entire home/apt,300,2,1,2012-11-20,0
356837,Townhouse in Austin · ★4.85 · 2 bedrooms · 5 beds · 2.5 baths,1806205,Varun,78701,30.28184,-97.74276,Entire home/apt,356,30,35,2022-07-22,268
357529,Home in Austin · ★4.98 · 2 bedrooms · 2 beds · 1 bath,1808807,Renee,78704,30.25478,-97.76854,Entire home/apt,190,3,356,2023-09-04,161
358164,Cabin in Austin · ★4.95 · 1 bedroom · 2 beds · 1 private bath,1812799,Monica,78751,30.3124,-97.72007,Private room,102,2,231,2023-06-29,275
358643,Home in Austin · 2 bedrooms · 1 bed · 0 baths,1815367,Kathy,78704,30.22971,-97.76695,Entire home/apt,800,1,0,,0
362460,Home in Austin · 2 bedrooms · 2 beds · 1 bath,1831617,Chris,78756,30.31744,-97.74547,Entire home/apt,625,4,0,,0
362525,Cottage in Austin · ★4.88 · 2 bedrooms · 1 bed · 1 bath,1827423,Vicki,78741,30.22314,-97.71985,Entire home/apt,65,30,40,2019-10-28,326
362662,Home in Austin · ★4.82 · 4 bedrooms · 9 beds · 4 baths,1832618,Robert,78702,30.25313,-97.72534,Entire home/apt,471,2,109,2023-05-01,332
363040,Guest suite in Austin · ★4.82 · Studio · 2 beds · 1 bath,213651,Daniel,78704,30.25433,-97.77582,Entire home/apt,83,1,397,2023-08-20,2
363944,Home in Austin · ★4.94 · 5 bedrooms · 7 beds · 4 baths,1840480,Scott & Sally,78704,30.25795,-97.77202,Entire home/apt,517,4,33,2023-05-08,80
364025,Rental unit in Austin · ★4.69 · 1 bedroom · 2 beds · 1 bath,1839064,Adriana,78703,30.27371,-97.75301,Entire home/apt,225,5,13,2019-03-14,0
364269,Home in Austin · ★4.88 · 3 bedrooms · 4 beds · 2.5 baths,1840480,Scott & Sally,78704,30.25954,-97.76978,Entire home/apt,224,4,110,2023-08-20,190
365471,Home in Austin · ★4.82 · 3 bedrooms · 4 beds · 2.5 baths,1845598,D.K.,78702,30.25917,-97.73425,Entire home/apt,492,1,104,2023-04-16,107
367356,Cottage in Austin · ★4.75 · 2 bedrooms · 3 beds · 1 bath,1488733,Vacasa Texas,78751,30.3065,-97.72278,Entire home/apt,140,1,179,2022-11-06,360
367789,Home in Austin · 4 bedrooms · 6 beds · 4.5 baths,1856695,John,78703,30.30549,-97.77147,Entire home/apt,2150,4,1,2014-03-17,0
368057,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,1858184,Carlos,78723,30.29608,-97.70658,Entire home/apt,160,72,15,2021-08-08,0
369090,Rental unit in Austin · 2 bedrooms · 1 bed · 1 bath,1861886,Sarah,78704,30.25858,-97.75181,Entire home/apt,650,1,0,,0
381240,Townhouse in Austin · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,1887493,Sobena,78704,30.2538,-97.74359,Entire home/apt,398,4,9,2022-10-24,202
383603,Home in Austin · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,1901242,Leslie,78702,30.25772,-97.7252,Private room,78,4,115,2023-03-30,15
406911,Guest suite in Austin · ★4.95 · 1 bedroom · 1 bed · 1 bath,1652515,Cynthia,78704,30.25909,-97.756,Entire home/apt,155,1,432,2023-08-13,337
412290,Rental unit in Austin · ★4.67 · 1 bedroom · 2 beds · 1.5 baths,1726978,Benjamin,78704,30.23899,-97.7522,Private room,47,3,52,2018-01-17,0
424279,Condo in Austin · ★4.89 · 2 bedrooms · 3 beds · 2 baths,1275188,Susie & Eoin,78704,30.241,-97.75371,Entire home/apt,153,30,27,2022-04-09,157
430683,Home in Austin · 3 bedrooms · 3 beds · 2 baths,2141281,Melanie,78731,30.33875,-97.76135,Entire home/apt,695,31,2,2016-05-30,62
433996,Loft in Austin · ★4.82 · 1 bedroom · 1 bed · 2 baths,2157243,Sean,78704,30.26139,-97.77566,Entire home/apt,119,2,288,2023-08-20,125
435211,Rental unit in Austin · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,1644218,Cecily,78701,30.27241,-97.74894,Private room,82,2,164,2020-02-15,0
442720,Home in Austin · ★4.81 · 4 bedrooms · 5 beds · 3 baths,2200336,Gretchen,78746,30.29948,-97.79728,Entire home/apt,253,3,103,2023-02-26,160
461404,Bungalow in Austin · ★4.77 · 2 bedrooms · 3 beds · 1 bath,1021729,Nita,78756,30.3239,-97.731,Entire home/apt,112,2,97,2023-07-30,302
474901,Home in Austin · ★5.0 · 3 bedrooms · 4 beds · 3 baths,2354063,Marit,78704,30.25174,-97.78213,Entire home/apt,599,2,5,2016-10-10,353
479197,Condo in Austin · ★4.94 · 1 bedroom · 1 bed · 1 private bath,1918269,Amanda,78704,30.258,-97.75195,Private room,61,30,33,2023-05-12,214
485360,Condo in Austin · ★4.96 · Studio · 1 bed · 1 bath,2402591,Jane,78702,30.26778,-97.72849,Entire home/apt,149,4,150,2023-05-28,39
501861,Guesthouse in Austin · ★4.97 · 2 bedrooms · 2 beds · 1 bath,2476440,Michelle,78704,30.253061,-97.745712,Entire home/apt,289,2,102,2023-05-24,327
510168,Home in Austin · ★4.93 · 3 bedrooms · 7 beds · 2 baths,793021,Steve,78733,30.34253,-97.8616,Entire home/apt,314,2,121,2023-08-13,338
517378,Rental unit in Austin · 2 bedrooms · 2 beds · 2 baths,2546917,Clint,78745,30.20976,-97.81729,Entire home/apt,250,1,0,,0
517430,Rental unit in Austin · ★4.99 · 1 bedroom · 2 beds · 1 bath,2546775,Rice,78705,30.29961,-97.73449,Entire home/apt,130,2,184,2023-08-31,90
522136,Rental unit in Austin · ★4.96 · 1 bedroom · 2 beds · 1 bath,2567934,Alexis,78701,30.27936,-97.74362,Entire home/apt,130,3,498,2023-09-01,118
